City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
365,istaravshan,39.3222,69.1819,275.97,87,43,3.35,TJ
366,zheleznogorsk,56.5783,93.5256,277.24,58,55,9.97,RU
367,mingguang,32.9928,117.7194,286.27,39,92,1.89,CN
368,drouin,-38.3247,145.714,285.43,95,100,6.11,AU
369,pavlodar,53.1284,77.2886,277.19,66,100,3.95,KZ
370,bardai,24.238,17.4549,299.25,16,0,5.19,LY
371,crotone,39.1315,17.5164,296.29,83,37,4.38,IT
372,minas de marcona,-15.156,-74.9232,296.05,55,29,4.23,PE
373,maevatanana,-17.2903,46.6125,301.38,59,35,0.94,MG
374,suntar,62.4086,116.5639,271.08,93,100,2.66,RU
375,jiangzi,28.9972,90.1258,266.28,57,0,3.09,CN
376,balakhta,55.3526,91.8661,276.93,62,87,9.91,RU
377,yoichi,44.1119,139.799,281.36,59,100,13.49,JP
378,nioki,-2.4018,17.9847,295.87,94,69,0.75,CD
379,sergeyevka,53.8751,67.8883,277.28,95,100,8.01,KZ
380,hinton,52.5621,-117.3683,270.24,51,100,1.69,CA
381,laascaanood,7.8167,47.4323,298.03,73,93,5.11,SO
382,horodnya,51.854,31.5741,278.79,87,99,6.31,UA
383,segou,13.4272,-6.0639,305.02,34,68,1.65,ML
384,dara,15.2753,-15.8091,301.97,58,43,6.45,SN
385,luba,2.7811,8.233,299.1,83,100,2.6,GQ
386,darwin,-13.6667,129.9642,298.95,82,3,1.95,AU
387,mil'kovo,55.8383,156.9275,277.93,85,98,9.94,RU
388,apolinario saravia,-23.9541,-63.413,314.95,19,9,6.66,AR
389,banyuls de la marenda,42.7615,3.4162,290.02,53,99,2.76,FR
390,mikkeli,61.7814,27.5455,267.18,72,82,1.66,FI
391,cesme,38.2237,26.4409,291.84,82,0,2.85,TR
392,sake,-1.0593,27.833,291.27,98,100,1.25,CD
393,west wodonga,-36.659,146.8063,276.19,87,24,1.09,AU
394,chegdomyn,55.9486,132.559,252.5,100,94,1.71,RU
395,leh,34.1639,77.7337,263.02,34,26,1.3,IN
396,mananjary,-21.0259,48.2578,295.27,89,99,0.93,MG
397,l'alcora,40.4532,-0.435,277.74,63,24,1.17,ES
398,glace bay,46.4374,-59.7583,291.48,93,100,9.2,CA
399,bani walid,31.2228,14.5131,297.47,60,90,6.64,LY
400,salym,59.4476,72.5772,273.32,79,100,4.96,RU
401,calp,37.6594,0.7736,293.9,43,71,2.79,ES
402,box elder,43.6241,-102.4184,288.23,34,41,2.85,US
403,zaragoza,16.6286,119.7593,301.25,78,100,3.8,PH
404,catriel,-37.9311,-68.8345,300.01,19,89,2.58,AR
405,along,29.5068,94.0933,265.19,93,71,1.5,CN
406,tazacorte,28.6627,-19.3829,297.56,67,100,11.58,ES
407,lusambo,-4.2574,23.5388,295.98,83,5,1.25,CD
408,novokazalinsk,45.8722,62.0358,279.88,73,100,5.24,KZ
409,san luis,-33.9177,-66.3978,302.23,33,83,6.55,AR
410,tshabong,-25.0536,23.0019,296.79,11,0,8.01,BW
411,possneck,50.7284,11.4974,286.72,73,100,1.83,DE
412,siilinjarvi,63.0173,27.4084,271.21,97,0,1.54,FI
413,karymskoye,51.697,114.469,272.25,67,74,1.11,RU
414,aur,7.6921,170.2613,301.81,78,94,5.41,MH
